Average_Mark,student_answer_en,reference_answer_en
5,"Widrow Hoff learning rule is also called as error corresction learning rule. The error is defined as the difference between the desired and the actua output of the learning machine. Assuming the desired signa is available, the error is computed and weights of the neural network are upadted in the direction of reduction of errors. The error for each input sample for a neuron k is computed using $ek(i) = dk(i) - yk(i)$. weight change $\Delta W = W*e$, that is the dot product of error and the weights is computed.",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"Widrow -Hoff learning rule states that the adaptation made to the synaptic weights is proportional to the product of input and the error function.It basically states that if the error is high then the product of input and error will also be high , and thus the adjustment made to the weight would be more. $wj(n+1) = wj(n) + eta*(error)*input$",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,Widrow Hoff rule is based minimising the mean square error using gradient descent alogirthm. Weights are adjusted in following manner:<br> w(n+1) = w(n) - n (gradient of mean square error) <br> It takes the gradient of the mean square error $0.5 e^{2}(n) = e(n) \frac{\partial e(n)}{\partial w} = e(n) x(n)$,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"Widrow-Hoff learning rule is derived from LMS error method, and it is defined as: $W{t+1} = W{t} + \mu \cdot \Delta W$, where $\mu$ represent learning rate, and $\Delta W = -(gradient \ of \ instantaneus \ erorr) = -(d - y)X $, Here $d$ represent desired signal, while $y$ represent output signal of a neuron. $X$ represent input of a neuron",The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,Widrow-Hoff rule states that the weight adjustment is proportional to the product of input and the error in the output. It is also called the delta rule. $$\Delta w{ji} = \eta xie{ji}$$ $\eta$ is the proportional constant also called as learning constant $$W(i)=W(i-1)+\Delta W{ji}$$,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,With int x[10]; int *xPtr; xPtr = x; Address &x[1] is the same as xPtr + 1.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
5,"With superior intelligence and the ability to understand how computer systems work and to detect security gaps, they can hack into multiple intensities and difficult ways (spying, spreading viruses...) to reach their attention, enjoy subtlety and use tricks and shadows, which are hard to find and discover.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
5,Within the main function,At the main function.
5,Within the main function,At the main function.
5,wnew = wold + learningparameter * error(n) * input(n) while error is: desiredinput - currentoutput the new value for the synaptic weight is computed of the old value plus a learning rate times the current error and the input. The output error is decreased in each step until the change is to small or the generalization is sufficient,The adjustment made to a synaptic weight of a neuron is proportional to the product of the error signal and the input signal of the synapse in question. The rule is derived from the steepest descent method.
5,"worst case scenario = the number of levels of the tree, ie: the node at the farthest position from the root node.  best case = 1 step if its the root node.",The height of the tree.
5,"Writing arithmetic expressions is called infix notation.  This is because a binary operator (like '+') is written in between its two operands (as in ""a + b"").  There are two alternative forms of notation used in certain situations.  One is prefix notation, in which an operator is written before its operands.  In prefix notation, the sum of a and b is written ""+ a b"".  This is the notation used to write function calls in mathematics and computer science.  It is also used in the Lisp and Scheme programming languages.  In postfix notation, an operator is written after its operands.  The sum of a and b is written ""a b +"".  (You may have seen this as ""reverse Polish notation"".)  Postfix notation forms the conceptual basis for the way that arithmetic expressions are evaluated by a computer.  One important characteristic of both postfix and prefix notations is that they are unambiguous; no parentheses are needed to indicate the order of operations. ","First, they are converted into postfix form, followed by an evaluation of the postfix expression."
5,yes *(array +offset),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
5,You can access specific elements quickly in an array.  In a linked list you must traverse the list to get access the same element.,"The elements in an array can be accessed directly (as opposed to linked lists, which require iterative traversal)."
5,"you can add as many nodes as you like without having to specify a list size, if an array gets too big you have to copy its entire contents to another larger array to get more room","Linked lists are dynamic structures, which allow for a variable number of elements to be stored."
5,you can break the whole program into prototype programs to simulate parts of the final program,To simulate the behaviour of portions of the desired software product.
5,you can break the whole program into prototype programs to simulate parts of the final program,To simulate the behaviour of portions of the desired software product.
5,You can expand when you need it.  You do not have to predetermine the size.,The linked lists can be of variable length.
5,you can have a pointer to the front of the array and add to the memory location (or offset from the initial value).,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
5,You can insert into and delete items from a pointer-based linked list without shifting data.,The linked lists can be of variable length.
5,you can overload constructors as you need,Unlimited number.
5,you can overload constructors as you need,Unlimited number.
5,"you can pass it where either the pointer cant be moved, the data pointed to cant be changed, or both or neither","There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
5,"You create and run  the algorithm multiple times, while measuring the amount of time it takes, you then average the results.",Implement the algorithm and measure the physical running time.
5,You do not have to predetermine your list size as you do with arrays. Linked list have the ability to be as large as you want them adding memory as needed.,"Linked lists are dynamic structures, which allow for a variable number of elements to be stored."
5,you do not use unessesary memory space to copy variables between functions,It avoids making copies of large data structures when calling functions.
5,You don't have to iterate through the entire list to access elements.,"The elements in an array can be accessed directly (as opposed to linked lists, which require iterative traversal)."
5,you don't make another copy and waste memory,It avoids making copies of large data structures when calling functions.
3,"As discussed earlier, recursion may be used to process iterative actions. Recursion is used for calculations where the answer can be described in a function that relates to itself.",They both involve repetition; they both have termination tests; they can both occur infinitely.
5,you get the memory location of the first element and the you add an offset to it to get other elements.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
5,You have to pass the head pointer to a function since it has access to the entire list.,By reference.
5,You implement a list in which the head pointer points to the element most recently pushed onto the list and the pop function changes the head pointer to point to the next to last element in the list and removes the element head pointer previously pointed to.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list."
5,you implement a stack with a list by changing the pointer to the first element of the list to the new item and move the pointer from the top of the stack to the next item when removing an item.,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list."
5,You pass the head pointer to a function as a reference argument.,By reference.
4,anything you can do iterativly you can do recursively,They both involve repetition; they both have termination tests; they can both occur infinitely.
5,"You recursively visit every node on the list. You visit the node from the left, the bottom, and from the right.","A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right."
4,"Incorrectly writing either can result in infinite loops, both perform the same task over and over.",They both involve repetition; they both have termination tests; they can both occur infinitely.
5,You remove the element from the tree and move the next highest element from the left into its place.,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree)."
5,you replace the node with the largest element of its left subtree or replace it with the smallest element of the right subtree.,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree)."
0,not answered,They both involve repetition; they both have termination tests; they can both occur infinitely.
4,anything you can do recursively you can do iteratively,They both involve repetition; they both have termination tests; they can both occur infinitely.
5,"You run a program with different data sizes, like 10^x.  As you increase x and measure the completion speeds for the program, you can find patterns and attempt the measure the running time.  It's very important to keep the same software and hardware however, which makes experimental testing inferior to theoretical in the eyes of most.",Implement the algorithm and measure the physical running time.
5,You select the smallest element and place it on the left.  You select the smallest element and sort it with respect the the item already on the left.  You continue this till the end of the collection of items.,"It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth."
5,you use the first element in the list as the remove point for the queue and insert items at the end of the list.,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list."
3,they are methods of repeating the same task.,They both involve repetition; they both have termination tests; they can both occur infinitely.
5,"your storage class has an array, and you keep track of the index of the first and last item in the array, and wrap around when end of the array is full","Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around."
5,#NAME?,A location in memory that can store a value.
5,#NAME?,At the main function.
5,#NAME?,At the main function.
5,#NAME?,"Exploiting a flaw in programs or devices for illegal access to passwords, creating personal impersonation sites, installing key pressure recording devices or software, dumping messages, viruses and social engineering."
5,#NAME?,"Security and privacy, alternative to holding documents, alternative to keeping and remembering confidential numbers, ensuring the confidentiality of financial operations."
5,#NAME?,The block inside a do...while statement will execute at least once.
5,#NAME?,The block inside a do...while statement will execute at least once.
4,they are used to solve the same type of problems. they do a task over and over again until a cirtain conditional statement is reached (its called the base case in recursion).,They both involve repetition; they both have termination tests; they can both occur infinitely.
5,#NAME?,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
5,#NAME?,To simulate the behaviour of portions of the desired software product.
3,both need to have some kind of base case to tell when the loop needs to stop.,They both involve repetition; they both have termination tests; they can both occur infinitely.
5,#NAME?,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4,Pass the length along with the array or use a vector.,"In the array declaration, or by using an initializer list."
3,statically and dynamically,"In the array declaration, or by using an initializer list."
4,"statically, using {} and dynamically, using []","In the array declaration, or by using an initializer list."
3,Static and dynamic.,"In the array declaration, or by using an initializer list."
3,with a number and with a variable,"In the array declaration, or by using an initializer list."
4,"strings that are used in an char array are much easier to manipulate than as a string object, because each character is stored separately rather than as a whole",The strings declared using an array of characters have a null element added at the end of the array.
4,"By using an array of characters, one can store and manipulate the strings rather than just having a type string variable.",The strings declared using an array of characters have a null element added at the end of the array.
4,type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of words (or an array of char arrays),The strings declared using an array of characters have a null element added at the end of the array.
4,string is a class in the standard library and has method that modify it. Whereas the char array is on able to be modifie by the user.,The strings declared using an array of characters have a null element added at the end of the array.
4,"By using an array of characters, you are limited to the size of the array of characters.  By declaring by type the end of the string is acknowledged by white space.",The strings declared using an array of characters have a null element added at the end of the array.
4,A char array reads a string as each individual character. A string literal array reads the entire string.,The strings declared using an array of characters have a null element added at the end of the array.
4,array of characters can only hold as many characters as the array size and strings are not that limited.,The strings declared using an array of characters have a null element added at the end of the array.
4,"Stings can only be modified by functions of the String class, an array of characters can be modified by the user",The strings declared using an array of characters have a null element added at the end of the array.
4,strings with type string are just that. Strings. They are not part of an array list at all where as one declared by an array is actually an array of characters able to be pointed and detected.,The strings declared using an array of characters have a null element added at the end of the array.
4,"the array of characters has a set length, while the type string has virtually unlimited length.",The strings declared using an array of characters have a null element added at the end of the array.
3,Char array - Individual letters can be accessed directly with array subscript notation.  String array - array subscript will return the entire string.,The strings declared using an array of characters have a null element added at the end of the array.
4,when using an array individual characters can be accessed and manipulated.,The strings declared using an array of characters have a null element added at the end of the array.
4,strings declared using an array of characters could result in data loss if character array not initialized large enough.,The strings declared using an array of characters have a null element added at the end of the array.
4,"an array is passed by reference therefore if an array of characters is changed, the memory is changed not just the variable",The strings declared using an array of characters have a null element added at the end of the array.
4,"the type string has several built-in functions not available when using a char array, but the individual characters in an array or more directly accessible than the characters in a string type string.",The strings declared using an array of characters have a null element added at the end of the array.
3,"declaring a string, it includes white spaces but declaring a array of character does not include white spaces",The strings declared using an array of characters have a null element added at the end of the array.
4,Strings declared using the type string can vary in length. Strings declared using an array of characters can not extend past the array length.,The strings declared using an array of characters have a null element added at the end of the array.
4,"cant modify individual characters of a type string array, character type array can modify individual characters",The strings declared using an array of characters have a null element added at the end of the array.
4,"the type string is a class and is safer, while the other is just an array of characters.",The strings declared using an array of characters have a null element added at the end of the array.
4,"array  it is the collection of similar data types ex:int a[10]  ten indicates the size of array. [ ] is index of array, we can give only integer values to array of a.  where as string mean collection of group of characters.  string declarations have a datatype usually causes storage to be allocated in memory that is capable of holding some predetermined number of symbols.    However  Arrays can be declared to contain values of any non reference data type. Multiple arrarys of the same type ",The strings declared using an array of characters have a null element added at the end of the array.
4,"you must pass the array and its size to the function. Ex. function(array, size);",by reference.
4,"Usually the same way you pass anything else... you do not have to specify the length of a char array, just pass it to the function by sending the name of the array.  Example: char str[20]; isPalindrome(str); // this sends the char array to the function isPalindrome.  Otherwise, would need to send the length of the array as well.",by reference.
3,you pass a pointer to the first item and also pass the size.,by reference.
4,"In two parts, the array itself, and it's size, so that the function it's being passed to can avoid out of bounds errors.",by reference.
3,the same way but with [] at the declaration and the actual function.,by reference.
3,specify the array name without brackets.,by reference.
3,They are called by the function then the function must loop through the array to get the set of characters.,by reference.
4,"The function recieves both the array and the array size as parameters. function(arrayName, arraySize)",by reference.
4,1st you must specify the array name without brackets and then the array name and size are passed as two arguments in the function call.,by reference.
4,"function( int [], int length)",by reference.
4,"The function reads the variables, stores them. then returns the what ever the variable reads. The function then prints the content of the array. ",by reference.
0,not answered,"The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called."
4,"at least 2, depending on how many arrays are being used.","All the dimensions, except the first one."
3,just the first one at least.,"All the dimensions, except the first one."
4,"Two paramaters, the array and how many columns.  array(a[],[3])","All the dimensions, except the first one."
3,both,"All the dimensions, except the first one."
3,"when passing (in main) a multidimensional array to a function, no dimensions need be specified","All the dimensions, except the first one."
3,"None, just pass the array name.","All the dimensions, except the first one."
0,not answered,"All the dimensions, except the first one."
3,one,"All the dimensions, except the first one."
4,two or more,"All the dimensions, except the first one."
4,The sorted array or list is built one entry at a time.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
3,Compare two numbers at a time and swap until the entire list is sorted.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,insertion sort is were after k iterations the first k items in the array are sorted it take the k+1 item and inserts it into the correct position in the already sorted k elements.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,Take a number and choose a pivot point and insert the number in the correct position from the pivot point.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
3,have a marker and sort everything to the left of the value for every new value when moving to the right.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,Insertion sort progresses through a list of elements and determines where the next element should be inserted into an already sorted array starting with sorting and using the first two elements.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,"it goes through the list only once, picking each integer and putting it in its desired position, then continuing. ","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,Inserting array items in to their appropriate positions from smallest to largest at a pivot which starts on the second element of the array.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,a comparison sort in which the sorted array is built one entry at a time,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,"Insertion sort is an algorithm where the first element of the array is in the sorted list, all the other pick one by one and taken from the unsorted array, to the sorted array.","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,the insertion sort creates a new array and inserts each item in its place with respect to the new array.,"Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,"one by one, each item is taken and placed into the correct place in the sorted portion of the array until there are no more items","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,"Insertion sort is a simple sorting algorithm, a comparison sort in which the sorted array (or list) is built one entry at a time.","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
4,"Selection sort searches the whole array for the largest item and puts it at the end of the array, then searches for the second largest item and puts it at the second to last spot and so on.","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,"Cycle through the unsorted list, place the minimum in the next slot in the sorted list, and repeat.","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,"Selection sort finds the minimum value in the list, swaps it with the first value in the list, and repeats throughout the list.","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,The main idea behind selection sort is to take the least variable from the right and put it directly to the left.,"Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,It runs through and finds the lowest (or highest) value and puts it in its desired position.,"Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,Search for the largest item in an array and swap it with the last unsorted item.,"Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,Selection sort is an algorithm that selects the larges item the array and puts it in its place; then select the next largest until the array is sorted,"Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,the selection sort chooses the largest or smallest value in an unsorted list and creates a new list using the selection depending on how it is sorted.,"Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,"To put the biggest element at the end of the list and place the next highest element behind it, and so on.","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
4,"the sort finds the largest item and places it at the end, then then next largest is found and placed next to last, continue until there is only one number left, this is the beginning of the sorted array","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
3,"The run time for this sorting program is n^2.  Best case is the list is already sorted, worst case is the list is sorted but in reverse. ",N (the length of the array) operations achieved for a sorted array.
4,"Insertion sort is O(n) and performs n-1 operations in the best-case scenario, which is when the list or array is already sorted.",N (the length of the array) operations achieved for a sorted array.
3,"The number of operations for insertions sort, under best-case, is  n(n-1)/2. The best case for insertion sort is on a sorted list where it runs is O(n). ",N (the length of the array) operations achieved for a sorted array.
4,"Best case would be O(n) or n-1, because that's what it takes to scan the array and make one swap. The array would then be sorted and would take only 1 operation.",N (the length of the array) operations achieved for a sorted array.
4,Best case-1 Worst Case-N,N (the length of the array) operations achieved for a sorted array.
4,O(n),N (the length of the array) operations achieved for a sorted array.
3,Best case is all elements sorted. n-1.,N (the length of the array) operations achieved for a sorted array.
3,1 operation. the best case scenario s where it is already sorted and does one comparision.,N (the length of the array) operations achieved for a sorted array.
4,n-1,N (the length of the array) operations achieved for a sorted array.
4,"O(n), the list is already sorted.",N (the length of the array) operations achieved for a sorted array.
4,Insertion sort will take n-1 operations if the array is in reverse order.,N (the length of the array) operations achieved for a sorted array.
3,1 where there is a list of two ints and only one must be moved.,N (the length of the array) operations achieved for a sorted array.
4,"Best case is N, while the worst case is N factorial.",N (the length of the array) operations achieved for a sorted array.
4,n-1 The best case is when the array is already sorted.,N (the length of the array) operations achieved for a sorted array.
4,worst case its = O(n) time best case its = O(n^2) time,N (the length of the array) operations achieved for a sorted array.
4,O(n),N (the length of the array) operations achieved for a sorted array.
4,"insertion sort will make zero operations (and length - 1 comparisons) in the best case scenario, that is, when the array its given is already in order.",N (the length of the array) operations achieved for a sorted array.
4,theta(n) the best case senario is that everything is already sorted,N (the length of the array) operations achieved for a sorted array.
3,"it could be considered that having only one item would be the easiest to sort, but this could also be a trivial result as nothing is moved  having two items allows the algorithm to sort the items into the correct order",N (the length of the array) operations achieved for a sorted array.
3,the best case is if it only has to look through the list once. The best case scenario is when it goes through the list and doesn't have to make any changes (the list is already sorted),N (the length of the array) operations achieved for a sorted array.
3,very simplistic it moves one element from the list by one and inserting them in their correct position into a new slot then starting over. best case is (0)1,N (the length of the array) operations achieved for a sorted array.
3,The best case is the same as the worst case O(n log n) for a recursive merge sort.,When the size of the array to be sorted is 1 (or 2)
4,O(nlog(n)),When the size of the array to be sorted is 1 (or 2)
4,If the array being sorted has 0 or 1 elements,When the size of the array to be sorted is 1 (or 2)
4,"T(n) = 0, if n&lt;2.",When the size of the array to be sorted is 1 (or 2)
3,O(nlog(n)),When the size of the array to be sorted is 1 (or 2)
3,n * log( n ),When the size of the array to be sorted is 1 (or 2)
4,where you only must merge sort once,When the size of the array to be sorted is 1 (or 2)
4,"if the array length is less than or equal to 1, then that array is returned to the other array and merged together",When the size of the array to be sorted is 1 (or 2)
2,"if (right &gt; left)   {     mid = (right + left) / 2;     m_sort(numbers, temp, left, mid);     m_sort(numbers, temp, mid+1, right);      merge(numbers, temp, left, mid+1, right);   } ",When the size of the array to be sorted is 1 (or 2)
3,"when each half or the original array has nothing else to sort, and puts the halfs back together",When the size of the array to be sorted is 1 (or 2)
4,the size of the list being sent is &lt;= 1,When the size of the array to be sorted is 1 (or 2)
3,O(n log n),When the size of the array to be sorted is 1 (or 2)
4,a pointer holds a memory location,A variable that contains the address in memory of another variable.
4,a name that represents actual location or value of a data type. int *bPtr points to an integer value.,A variable that contains the address in memory of another variable.
4,Is a reference call to the place in memory where the object is stored.,A variable that contains the address in memory of another variable.
4,a variable with a memory address as the value,A variable that contains the address in memory of another variable.
4,it is a type that points to something else. It is the memory address of something else,A variable that contains the address in memory of another variable.
3,returns the place in memory of that element,The memory address of its operand.
3,"the ampersand (&) means ""pass by reference"". When the function is called, a pointer to the variable, instead of the variable itself, will be passed into the function.",The memory address of its operand.
4,Returns the address location in memory of the item.,The memory address of its operand.
4,the reference to a variable,The memory address of its operand.
4,returns the address number of the specified variable,The memory address of its operand.
3,the address of the variable it is attached to,The memory address of its operand.
4,returns the address of what it is put in front of,The memory address of its operand.
3,returns a pointer,The memory address of its operand.
4,the * operator returns the value in the memory address the element points to.,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,The * returns the value,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,it returns the information in the address the pointer points to.,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,the star operator returns the value at the memory address the pointer is pointing at.,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,The star operator returns the object at that memory location.,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
3,The * operator returns the value of the object's memory address it precedes.,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,The value stored in the object being pointed to.,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,the value of the variable the pointer points to.,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,It is unary operator that returns the value of the variable located at the address,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
3,a reference to a = variable,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
3,it returns the actual data at the address pointed to,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
3,will return zero or many characters placed before the operator,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.
4,The array itself can be signed to a pointer or each element of the array can be assigned to a pointer.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
4,An array can be addressed in pointer/offset notation by setting a pointer variable equal to the variable name of the array. Elements of the array can then be accessed by adding an offset value to the pointer variable.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,Element b[ n ] can be accessed by  *( bPtr + n ).,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,Using either the name of the array as a pointer or using a separate pointer that points to the array.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,An element b[3] can be referenced by using *( bPtr + 3) instead.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,yes *(array +offset),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
4,"The name of an array is considered to be a pointer in C++, and can be passed as such in functions parameters. Declaring int a[10]; creates a pointer ""a"" which stores the address of a[0].","By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
4,Element b[ n ] can be accessed by  *( bPtr + n ) is an example of how an array can be addressed as pointer/offset notation.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,*(array + element),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,*f[3],"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,With int x[10]; int *xPtr; xPtr = x; Address &x[1] is the same as xPtr + 1.,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,Takes the number of array elements and points to each at a time,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,The array can act as a pointer or be referenced by a pointer.  *(arrayPtr + 3) or *(array + 3),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,by using the *(pointer + element-index),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
4,using the star operator.   array: b[n] can be accessed by *(bpointer +n),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,Element A[n] can be accessed by *(APtr + n),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
4,"by referencing a pointer and referring to other pointers relative to the first pointer(pointer+1, pointer +2, etc)","By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,&[b3] is as bptr + 3. Array can be treated as pointer,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,a[i] = *(a+i),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,&b[3]  bPtr + 3,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,*(arrayName + index),"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
2,multi-dimensional array,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
3,The sizeof operator returns the size of the operand.,The size in bytes of its operand.
3,it returns the size of the argument passed in,The size in bytes of its operand.
3,"The amount of memory required for a specific parameter such as ints, doubles.",The size in bytes of its operand.
4,the size of the information in bits.,The size in bytes of its operand.
3,the size of the string.,The size in bytes of its operand.
2,the size of the list object.,The size in bytes of its operand.
3,"It returns the size of an operand in memory, which is checked at compiler-time.",The size in bytes of its operand.
3,They can be passed by value or by reference,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,Pass-by-value or pass-by-reference.,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,you can pass a pointer to a pointer or pass a reference to pointer.,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,by address &bPtr or directly bPtr.,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,By argument and reference.,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,pass by value and pass by reference with reference or pointer arguments.,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,you can pass them with the pointer (*) or the memory address (&),"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,Pass by reference with reference arguments. function(int &)  Pass by reference with pointer arguments. function(int *),"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
2,you can pass the reference or the dereference in a function,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,"Pointers may be passed to functions by value, by reference with reference arguments, or by reference with pointer arguments.","There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
3,"pass by value, pass by reference with reference arguments, pass by reference with pointer arguments","There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
